song,artist,features,track_id,popularity,release_date,release_date_precision,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,lyrics
Call Me (Come Back Home),Al Green,,2THyR0on3DrsfXBtRrLZgK,41,1973,year,0.683,0.392,10,-13.213,1,0.0293,0.596,3.43e-06,0.227,0.679,99.79,4,184907,"Call me, call me, call me\n[Verse 1]\nWhat a beautiful time we had together\nNow it's getting late and we must leave each other, yeah\nJust remember the time we had\nAnd how right I tried to be\nIt's all in a day's work\nCall me\n[Verse 2]\nLosing your love, acting foolishly\nGo on and take your time\n'Cause you're only losing me\nLove is a long ways from here\nTell you, it's all in the way you feel\nIf your love is real\nCome to me\n[Chorus]\nCall me, call me, call me\nCome back home\n[Verse 3]\nThe best thing I can do is give you your love\n(is give you your love, baby)\nLet you go on your way\nFeeling as free as a dove\nAnd if you find you're a long ways from home\nAnd somebody's doing you wrong\nJust call on me baby\nCome back home\n[Chorus]\nCall me, call me\nCome back home\nCall me, call me\nCome back home\n[Bridge]\nWhen you're worried\nThings ain't going right, yeah\nIt's all in a day's work\nCall me\nWhen you're lonely\nYou can call me\nWhen you're feeling sad, baby\nOh oh oh, yeah\nIt's all in a day's work\nCome back home"
Across 110th Street,Bobby Womack,,2zyTP97uGsIc1C4KNNEkyn,61,1993-01-01,day,0.476,0.585,11,-14.211,0,0.0478,0.107,1.43e-05,0.149,0.523,110.275,4,230507,"[Intro]\nOoo-ooo-oo...\nOoo-ooo-oo...\n[Verse 1]\nI was the third brother of five\nDoing whatever I had to do to survive\nI'm not saying what I did was alright\nTrying to break out of the ghetto was a day to day fight\nBeen down so long, getting up didn't cross my mind\nBut I knew there was a better way of life that I was just trying to find\nYou don't know what you'll do until you're put under pressure\n'Cross 110th Street is a hell of a tester\n[Chorus]\nAcross 110th Street\nPimps trying to catch a woman that's weak\nAcross 110th Street\nPushers won't let the junkie go free\nAcross 110th Street\nWoman trying to catch a trick on the street\nAcross 110th Street\nYou can find it all in the street\n[Bridge]\nOoo-ooo-oo, oh\nI got one more thing I'd like to talk to y'all about right now\n[Verse 2]\nHey brother, there's a better way out\nSnorting that coke, shooting that dope, man you're copping out\nTake my advice, it's either live or die\nYou've got to be strong if you want to survive\nThe family on the other side of town\nWould catch hell without a ghetto around\nIn every city you find the same thing going down\nHarlem is the capital of every ghetto town\n[Chorus]\nAcross 110th Street\nPimps trying to catch a woman that's weak\nAcross 110th Street\nPushers won't let the junkie go free\nAcross 110th Street\nA woman trying to catch a trick on the street, ooo baby\nAcross 110th Street\nYou can find it all in the street\nYes you can, oh"
The Lord Knows I'm Drinking,Cal Smith,,3JY8XOrpQwh217mZfraYs9,42,2013-12-12,day,0.673,0.498,9,-9.491,1,0.0252,0.123,0.0461,0.0543,0.869,88.912,1,211612,Hello Mrs. Johnson you self-righteous woman\nSunday School teacher what brings you out slumming\nDo you reckon the preacher would approve where you are\nStanding here visiting with a back-sliding Christian\nIn a neighborhood bar\nWell yes that's my bottle and yes that's my glass\nAnd I see you're eye balling this pretty young lass\nIt ain't none of your business but yes she's with me\nAnd we don't need no sermon you self-righteous woman\nJust let us be\nThe Lord knows I'm drinking and running around\nAnd He don't need your loud mouth informing the town\nThe Lord knows I'm sinning and sinning ain't right\nBut me and the Good Lord's gonna have us a good talk\nLater tonight\nGoodbye Mrs. Johnson you self-righteous \nbiddy\nI don't need your preaching and I don't need your pity\nSo go back to whatever you hypocrites do\nAnd when I talk to Heaven be nice and I'll put in\nA good word for you
Nobody Wins,Brenda Lee,,6TJJ4kRQ1nuHYyQIvgJlaL,17,2006-01-10,day,0.425,0.123,8,-16.468,1,0.0296,0.793,0.000184,0.269,0.419,79.433,4,180373,"Well it's over, and nobody wins\nWell it really doesn't matter\nWho's right or wrong?\nWe've been hustling each other for much too long\nAnd it's too late to try to say, what might have been\nIt's over, and nobody wins\nMake believe and forever is just a lie\nAnd it seems a little sadder, each time we try\n'Cause it's a shame to make the same mistakes again and again\nOh it's over, and nobody wins\nWe've gone too far, too long, too far apart\nThe love it was easy, it's the living that's hard\nFor there's no need to say to see the way it is\nOh, it's over and nobody wins"
Last Tango In Paris,Herb Alpert & The Tijuana Brass,,0OF9jHas1AjwtdLrR4GoPR,27,1974-05-01,day,0.666,0.55,0,-11.844,0,0.0239,0.803,0.798,0.142,0.858,99.879,4,168000,
A Fool Like You,Tim Moore,,6uRA9xbIgGWCOHoTvKm8IK,8,1974,year,0.606,0.524,3,-11.902,1,0.0338,0.663,0.00199,0.323,0.835,150.366,4,225640,
Also Sprach Zarathustra,Deodato,,6ywm0ilJ9ItgXRDg0yrJP1,12,1977,year,0.448,0.763,0,-11.657,1,0.0493,0.431,0.359,0.291,0.513,117.938,4,663133,
Love Train,The O'Jays,,28285KFbyCq8sJofn58qlD,71,1972-01-01,day,0.743,0.572,0,-9.627,1,0.0493,0.186,1.44e-05,0.163,0.675,122.658,4,178400,"[Chorus]\nPeople all over the world (Hit by it)\nJoin hands (Join)\nStart a love train (You)\nLove train (And you)\nPeople all over the world (All over, nah)\nJoin hands (Love right)\nStart a love train (Love right)\nLove train\n[Verse 1]\nThe next stop that we make will be England\nTell all the folks in Russia, and China, too\nDon't you know that it's time to get on board?\nAnd let this train keep on riding, riding on through\n(Well, well)\n[Chorus]\nPeople all over the world (We don't need nobody)\nJoin hands (Come on)\nStart a love train (Don't need)\nLove train (Take it, come on)\nPeople all over the world (Right)\nJoin hands (Ride this train, y'all)\nStart a love train (Come on)\nLove train\n[Verse 2]\nAll of you brothers over in Africa\nTell all the folks in Egypt, and Israel, too\nPlease don't miss this train at the station\n'Cause if you miss it, I feel sorry, sorry for you\n(Well)\n[Chorus]\nPeople all over the world (Sisters and Brothers)\nJoin hands (Join, come on)\nStart a love train (Ride this train)\nLove train (Come on, love train)\nPeople all over the world (Don't need no tickets)\nJoin hands (Come on, ride)\nStart a love train (Ride)\nLove train (Ride)"
Dead Skunk,Loudon Wainwright III,,3NWpG50DNlO8IiVdx6Ig3w,45,1972,year,0.633,0.655,7,-11.514,1,0.0312,0.617,2.79e-06,0.113,0.967,146.868,4,185733,"[Verse 1]\nCrossing the highway late last night\nHe shoulda looked left and he shoulda looked right\nHe didn't see the station wagon car\nThe skunk got squashed and there you are\n[Chorus]\nYou got your dead skunk in the middle of the road\nDead skunk in the middle of the road\nDead skunk in the middle of the road\nStinking to high heaven\n[Verse 2]\nTake a whiff on me, that ain't no rose\nRoll up your window and hold your nose\nYou don't have to look and you don't have to see\n'Cause you can feel it in your olfactory\n[Chorus]\nYou got your dead skunk in the middle of the road\nDead skunk in the middle of the road\nDead skunk in the middle of the road\nAnd it's stinking to high heaven\n[Verse 3]\nYeah, you got your dead cat and you got your dead dog\nOn a moonlight night, you got your dead toad frog\nGot your dead rabbit and your dead raccoon\nThe blood and the guts, they're gonna make you swoon\n[Chorus]\nYou got your dead skunk in the middle\nDead skunk in the middle of the road\nDead skunk in the middle of the road\nStinking to high heaven\nC'mon, stink\n[Post-Chorus]\nYou got it, it's dead, it's in the middle\nDead skunk in the middle\nDead skunk in the middle of the road\nStinking to high heaven\nAll over the road\nTechnicolor\nOh, you got pollution\nIt's dead, it's in the middle\nAnd it's stinking to high, high heaven"
A Letter To Myself,The Chi-Lites,,3URnRabOOq4nEVUrlmdzJ9,29,1973,year,0.49,0.492,9,-9.979,1,0.0367,0.538,0.0,0.157,0.42,130.66,4,338373,"Write a letter, write another letter\nWrite a letter, write another letter\nWrite a letter\nI'm sealing up this letter\nI just finished signing your name\nMy friends would all be surprised if I knew I was playing this game\nI'll pretend it's a special delivery\nAnd just to give me a hint, I'll use your favorite color, smear it with your favorite scent\nHuh, I know that you think I'm crazy, but I can't lose what I have left\nSo I've decided to write this letter and send it to myself\nSo to make my story short, in the mailbox I will place this letter that I wrote and it's stamped with your lovely face\nWhen I'm alone and I need someone to talk to\nI talk to your picture\nGet me a pencil and paper (Pencil and paper)\nAnd write all the things\nSay all the things I've heard you say before\nBut with a little extra (Extra extra, read all about it.) sugar and spice\nI guess it makes me feel kind of nice\nI write a letter to myself.  (Write a letter, write another letter.)\n(Write a letter, write another letter.)\nOh, I write another letter to myself.  (Write a letter, write a letter.)\nI write a letter to myself.  (Write a letter, write another letter.)\n(Write a letter, write another letter.)\nOh, I write another letter to myself.  (Write a letter, write a letter.)\nWhat is a home when you're all alone?\nIt seems so full\nIt seems so full, but so empty\n(Ahhh, ahhh, ahhh, ahhh, ahhh, ahhh, ahhh, ahhh.)\nSo I put on my coat, leave you a note\nAnd go the places, places, places where we used to be\nI pretend you are there, order dinner for two\nYour every presence is all in the air\nI write a letter to myself.  (Write a letter, write another letter.)\n(Write a letter, write another letter.)\nI write another letter to myself.  (Write a letter, write a letter.)\nI write another letter to myself.  (Write a letter, write another letter.)\n(Write a letter, write another letter.)\nOh, I write another letter to myself.  (Write a letter, write a letter.)\nMmmm, hmmm\nI write another letter to myself.  (Write a letter, write another letter.)\n(Write a letter, write another letter.)\nWrite another letter to myself.  (Write a letter, write a letter.)\nI write another letter to myself.  (Write a letter, write another letter.)\n(Write a letter, write another letter.)\nI write another letter to myself.  (Write a letter, write a letter.)\nOh yeah\nWrite another letter to myself.  (Write a letter, write another letter.)\n(Write a letter, write another letter.)\nWrite another letter to myself.  (Write a letter, write a letter.)\nWrite another letter to myself.  (Write a letter, write another letter.)\n(Write a letter, write another letter.)\nWrite another letter to myself.  (Write a letter, write a letter.)\nI write another letter to myself.  (Write a letter, write another letter.)\n(Write a letter, write another letter.)\nOh, I write another letter to myself.  (Write a letter, write a letter.)\nMmmm, hmmm\nWrite another letter to myself.  (Write a letter, write another letter.)\n(Write a letter, write another letter.)\nWrite another letter to myself.  (Write a letter, write a letter.)\nI write another letter to myself.  (Write a letter, write another letter.)\n(Write a letter, write another letter.)"
